"","序號","地點","口採樣點","鼻採樣點","類別","輪候人數","等候時間"
"1","A01","街坊會聯合總會社區服務大樓",2,2,"A","14人","<U+2B24>4分鐘"
"2","A02","慈幼中學",1,1,"A","1人","<U+2B24>1分鐘"
"3","A03","望廈體育中心三樓",1,1,"A","3人","<U+2B24>2分鐘"
"4","A04","塔石體育館B館",1,1,"A","4人","<U+2B24>2分鐘"
"5","A05","澳門坊眾學校",3,3,"A","2人","<U+2B24>0分鐘"
"6","A06","奧林匹克體育中心運動場乒乓球室",1,0,"A","23人","<U+2B24>23分鐘"
"7","A07","石排灣公立學校",1,0,"A","3人","<U+2B24>3分鐘"
"8","B01","聖若瑟教區中學第六校",2,2,"B","20人","<U+2B24>5分鐘"
"9","B02","青洲坊活動中心",2,2,"B","73人","<U+2B24>18分鐘"
"10","B03","鄭觀應公立學校",2,3,"B","30人","<U+2B24>6分鐘"
"11","B04","工人體育場",7,7,"B","35人","<U+2B24>3分鐘"
"12","B05","鏡平學校（中學部）",5,6,"B","40人","<U+2B24>4分鐘"
"13","B06","中葡職業技術學校體育館",5,3,"B","82人","<U+2B24>10分鐘"
"14","B07","健康生活教育園地",4,2,"B","55人","<U+2B24>9分鐘"
"15","B08","鮑思高粵華小學",2,3,"B","5人","<U+2B24>1分鐘"
"16","B09","望廈體育中心1樓",4,7,"B","25人","<U+2B24>2分鐘"
"17","B10","廣大中學",4,2,"B","25人","<U+2B24>4分鐘"
"18","B11","勞校中學附屬幼稚園",3,2,"B","50人","<U+2B24>10分鐘"
"19","B12","婦女聯合總會綜合服務大樓",1,2,"B","50人","<U+2B24>17分鐘"
"20","B13","鏡湖醫院禮堂",4,4,"B","15人","<U+2B24>2分鐘"
"21","B14","沙梨頭活動中心",3,4,"B","10人","<U+2B24>1分鐘"
"22","B15","培正中學",4,3,"B","160人","<U+2B24>23分鐘"
"23","B16","塔石體育館A館",3,2,"B","21人","<U+2B24>4分鐘"
"24","B17","澳門理工學院懷遠樓展覽廳",4,4,"B","4人","<U+2B24>1分鐘"
"25","B18","澳門文化中心",4,5,"B","20人","<U+2B24>2分鐘"
"26","B19","利瑪竇中學",4,4,"B","35人","<U+2B24>4分鐘"
"27","B20","聖若瑟教區中學第二校",1,2,"B","63人","<U+2B24>21分鐘"
"28","B21","海星中學",5,2,"B","63人","<U+2B24>9分鐘"
"29","B22","奧林匹克體育中心-運動場-室內體育館",3,2,"B","40人","<U+2B24>8分鐘"
"30","B23","嘉模會堂",2,1,"B","5人","<U+2B24>2分鐘"
"31","B24","北安客運碼頭",2,0,"B","25人","<U+2B24>13分鐘"
"32","B25","教青局親職教育中心 (湖畔)",4,4,"B","50人","<U+2B24>6分鐘"
"33","B26","澳門保安部隊高等學校",3,2,"B","6人","<U+2B24>1分鐘"
"34","B27","街總石排灣家庭及社區綜合服務中心",4,2,"B","37人","<U+2B24>6分鐘"
"35","B28","澳門大學",1,2,"B","10人","<U+2B24>3分鐘"
"36","B29","澳門威尼斯人",6,3,"B","20人","<U+2B24>2分鐘"
"37","B30","澳門東亞運體育館A館",1,1,"B","2人","<U+2B24>1分鐘"
"38","B31","科大體育館",2,2,"B","20人","<U+2B24>5分鐘"
"39","C01","綜藝館",1,1,"C","0人","<U+2B24>0分鐘"
"40","C02","國檢（澳門）醫務中心",2,2,"C","29人","<U+2B24>7分鐘"
"41","C03","金沙娛樂場",1,0,"C","0人","<U+2B24>0分鐘"
"42","C04","新葡京酒店",1,0,"C","0人","<U+2B24>0分鐘"
"43","C05","美高梅",1,0,"C","1人","<U+2B24>1分鐘"
"44","C06","永利澳門",1,0,"C","0人","<U+2B24>0分鐘"
"45","C07","星際酒店",1,0,"C","0人","<U+2B24>0分鐘"
"46","C08","澳門國際機場",0,0,"C","0人","<U+2B24>0分鐘"
"47","C09","澳門科大醫院",1,1,"C","7人","<U+2B24>4分鐘"
"48","C10","永利皇宮",1,0,"C","1人","<U+2B24>1分鐘"
"49","C11","美獅美高梅",1,0,"C","0人","<U+2B24>0分鐘"
"50","C12","新濠影匯",1,0,"C","0人","<U+2B24>0分鐘"
"51","C13","百老匯酒店",1,0,"C","2人","<U+2B24>2分鐘"
"52","C14","南粵橫琴口岸",1,1,"C","1人","<U+2B24>1分鐘"
